shortcode,description
060226,060226. Mitral atresia with absent valvar annulus (connection-junction).
060256,060256. Parachute malformation of mitral valve
060272,060272. Congenital mitral valvar prolapse.
060292,060292. Mitral stenosis
060293,060293. Mitral valve stenosis
060311,060311.Congenital anomaly of right-sided atrioventricular valve in double inlet ventricle.
060411,060411.Congenital anomaly of left-sided atrioventricular valve in double inlet ventricle.
060501,060501. AVSD AV valvar abnormality
060506,060506. AVSD AV valvar regurgitation
060514,060514.Atypical common atrioventricular valve.
060525,060525. Double orifice of left ventricular component of common atrioventricular valve (left atrioventricular valve).
060560,060560.Common atrioventricular valvar regurgitation.
060571,060571.Atypical right ventricular component of common atrioventricular valve (right atrioventricular valve).
060572,060572.Atypical left ventricular component of common atrioventricular valve (left atrioventricular valve).
060598,060598. Deficient mural-lateral leaflet of left ventricular component of common atrioventricular valve (left atrioventricular vale)
060600,060600. Atrioventricular septal defect
060601,060601. AVSD: isolated atrial component (primum ASD)(partial)
060608,060608. AVSD: isolated ventricular component
060609,060609. AVSD: atrial & ventricular components with common AV orifice (complete)
060610,060610. AVSD: atrial & (restrictive) ventricular components + separate AV valves ('intermediate')
060705,060705. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant right ventricle and hypoplastic left ventricle.
060706,060706. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant left ventricle and hypoplastic right ventricle.
060726,060726. AVSD with ventricular imbalance
060727,060727. Atrioventricular septal defect (AVSD) with balanced ventricles.
060728,060728.Common atrioventricular junction with spontaneous fibrous closure of atrioventricular septal defect (AVSD).
060736,060736. Common atrioventricular valve with unbalanced commitment of valve to ventricles.
060737,060737.Common atrioventricular valve with unbalanced commitment of valve to right ventricle.
060738,060738.Common atrioventricular valve with unbalanced commitment of valve to left ventricle.
070301,070301. Double chambered right ventricle
070520,070520.Congenital right ventricular outflow tract obstruction.
070530,070530. Subpulmonary stenosis
070532,070532.Congenital subpulmonary stenosis.
070841,070841. Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle
070842,070842. Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle
070900,070900. Subaortic stenosis
070903,070903. Subaortic stenosis due to fibromuscular shelf
070908,070908. Left ventricular outflow tract obstruction due to atrioventricular valve.
070916,070916.Subaortic stenosis due to fibromuscular tunnel.
070928,070928.Congenital left ventricular outflow tract obstruction.
070934,070934.Congenital anomaly of aorta and-or its branches.
070950,070950.Congenital subaortic stenosis.
090101,090101. Common arterial trunk (truncus arteriosus)
090111,090111. Common arterial trunk (truncus arteriosus) with aortic dominance and one pulmonary artery absent from trunk. isolated pulmonary artery.
090112,090112. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic arch obstruction.
090114,090114. Common arterial trunk (truncus arteriosus) with aortic dominance and both pulmonary arteries arising from trunk.
090115,090115. Common arterial trunk (truncus arteriosus) with aortic dominance (no aortic arch obstruction).
090118,090118. Common arterial trunk (truncus arteriosus) with pulmonary dominance and interrupted aortic arch.
090119,090119. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic coarctation.
090200,090200. Truncal valvar abnormality
090201,090201.Dysplasia of truncal valve.
090203,090203. Truncal valvar regurgitation
090218,090218.Congenital truncal valvar stenosis.
090219,090219.Congenital truncal valvar regurgitation.
090401,090401. Aortopulmonary window
090407,090407.Congenital aortopulmonary window.
090501,090501. Pulmonary valvar stenosis
090504,090504. Pulmonary valvar stenosis: congenital
090505,090505.Pulmonary 'annular' hypoplasia.
090511,090511. Pulmonary atresia
090512,090512. Pulmonary atresia: imperforate valve
090516,090516.Congenital pulmonary atresia.
090525,090525. Tetralogy of Fallot with absent pulmonary valve syndrome
090592,090592. Pulmonary stenosis
090705,090705. Absent or atretic pulmonary trunk (main pulmonary artery).
090711,090711. Pulmonary trunk hypoplasia
090713,090713. Supravalvar pulmonary trunk stenosis
090715,090715.Congenital supravalvar pulmonary stenosis.
090716,090716.Congenital anomaly of pulmonary arterial tree.
090719,090719. Congenital pulmonary trunk (main pulmonary artery) anomaly.
090720,090720. Congenital pulmonary trunk hypoplasia.
090726,090726. Solitary arterial trunk (absent intrapericardial pulmonary arteries)
090902,090902.Right pulmonary artery from arterial duct.
090903,090903.Right pulmonary artery from ascending aorta.
090904,090904.Left pulmonary artery from arterial duct.
090905,090905.Left pulmonary artery from ascending aorta.
090908,090908. Pulmonary artery from ascending aorta (hemitruncus)
090911,090911. Pulmonary artery from arterial duct.
091001,091001. Pulmonary arterial stenosis
091006,091006. Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation
091007,091007. Central pulmonary arterial stenosis: proximal to hilar bifurcation
091010,091010. Discontinuous (non-confluent) pulmonary arteries
091025,091025. Right pulmonary arterial stenosis
091026,091026. Left pulmonary arterial stenosis
091027,091027.Congenital pulmonary arterial branch stenosis.
091028,091028.Congenital right pulmonary arterial stenosis.
091029,091029. Congenital left pulmonary arterial stenosis.
091030,091030.Congenitally discontinuous. non-confluent right and left pulmonary arteries.
091037,091037.Congenital central pulmonary arterial stenosis or hypoplasia proximal to hilar bifurcation.
091038,091038. Congenital peripheral pulmonary arterial stenoses or hypoplasia at or beyond hilar bifurcation.
091075,091075.Absent or atretic right pulmonary artery.
091077,091077.Absent or atretic left pulmonary artery.
091501,091501. Aortic valvar stenosis: congenital
091503,091503. Aortic atresia
091506,091506. Aortic valvar atresia.
091513,091513. Aortic valvar stenosis
091517,091517. Aortic 'annular' hypoplasia.
091592,091592. Aortic stenosis
091600,091600. Supravalvar aortic stenosis
091618,091618. Congenital supravalvar aortic stenosis.
091701,091701. Aortoventricular tunnel
091702,091702. Aorto - left ventricular tunnel
092901,092901. Aortic coarctation
092911,092911. Aortic arch hypoplasia (tubular)
092931,092931. Interrupted aortic arch
092932,092932. Interrupted aortic arch distal to subclavian artery. type A.
092933,092933. Interrupted aortic arch between subclavian & common carotid arteries. type B.
092934,092934. Interrupted aortic arch between carotid arteries. type C.
092944,092944.Descending thoracic or abdominal aortic coarctation.
093134,093134.Vascular ring of left aortic arch and right arterial duct or ligament.
093135,093135.Vascular ring of right aortic arch and left arterial duct or ligament.
094101,094101. Anomalous origin of coronary artery from pulmonary artery
094103,094103. Anomalous origin of left coronary artery from pulmonary artery (ALCAPA).
094221,094221.Anomalous aortic origin of coronary artery with ventriculo-arterial concordance.
120081,120081. Anomalous systemic venous connection repair
120143,120143. Atrial septectomy
120157,120157. Atrial baffle procedure
120190,120190. Interatrial communication creation-enlargement
120400,120400. Atrioventricular septal defect procedure
120420,120420. Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure
120440,120440. Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure
120635,120635. Double chambered right ventricle repair
120806,120806. Ventricular septal defect (VSD) enlargement
121004,121004. Application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct
121302,121302. Pulmonary valvotomy: open
121430,121430. Pulmonary artery origin from ascending aorta (hemitruncus) repair
121431,121431. Pulmonary artery ligation
121505,121505. Application of right pulmonary artery band
121602,"121602. Aortic valvotomy: open,"
121800,121800. Coarctation-hypoplasia of aorta repair
121801,121801. Aortic coarctation-hypoplasia repair by resection & end to end anastomosis
121802,121802. Aortic coarctation-hypoplasia repair by patch aortoplasty
121803,121803. Aortic coarctation-hypoplasia repair by subclavian flap aortoplasty
121810,121810. Aortic coarctation-hypoplasia repair by resection & extended end to end anastomosis
121830,121830. Aortic arch repair
122920,122920. Double outlet right ventricle repair
123031,123031. Takedown of Fontan type procedure
123601,123601. Right ventricle to pulmonary arterial tree conduit construction
123602,123602. Left ventricle to pulmonary artery conduit construction
124802,"124802. Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft'),"
129001,129001. Atrioventricular valvar repair
150503,150503. Pulmonary vein obstruction
