shortcode,description
060236,060236. True cleft of mitral leaflet (without AVSD)
060311,060311.Congenital anomaly of right-sided atrioventricular valve in double inlet ventricle.
060411,060411.Congenital anomaly of left-sided atrioventricular valve in double inlet ventricle.
060501,060501. AVSD AV valvar abnormality
060506,060506. AVSD AV valvar regurgitation
060514,060514.Atypical common atrioventricular valve.
060525,060525. Double orifice of left ventricular component of common atrioventricular valve (left atrioventricular valve).
060560,060560.Common atrioventricular valvar regurgitation.
060571,060571.Atypical right ventricular component of common atrioventricular valve (right atrioventricular valve).
060572,060572.Atypical left ventricular component of common atrioventricular valve (left atrioventricular valve).
060598,060598. Deficient mural-lateral leaflet of left ventricular component of common atrioventricular valve (left atrioventricular vale)
060600,060600. Atrioventricular septal defect
060601,060601. AVSD: isolated atrial component (primum ASD)(partial)
060608,060608. AVSD: isolated ventricular component
060609,060609. AVSD: atrial & ventricular components with common AV orifice (complete)
060610,060610. AVSD: atrial & (restrictive) ventricular components + separate AV valves ('intermediate')
060705,060705. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant right ventricle and hypoplastic left ventricle.
060706,060706. Atrioventricular septal defect (AVSD) with ventricular imbalance with dominant left ventricle and hypoplastic right ventricle.
060726,060726. AVSD with ventricular imbalance
060727,060727. Atrioventricular septal defect (AVSD) with balanced ventricles.
060728,060728.Common atrioventricular junction with spontaneous fibrous closure of atrioventricular septal defect (AVSD).
060736,060736. Common atrioventricular valve with unbalanced commitment of valve to ventricles.
060737,060737.Common atrioventricular valve with unbalanced commitment of valve to right ventricle.
060738,060738.Common atrioventricular valve with unbalanced commitment of valve to left ventricle.
070301,070301. Double chambered right ventricle
070520,070520.Congenital right ventricular outflow tract obstruction.
070530,070530. Subpulmonary stenosis
070532,070532.Congenital subpulmonary stenosis.
070841,070841. Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle
070842,070842. Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle
071000,071000. VSD
071001,071001. Perimembranous VSD
071002,071002.Inlet perimembranous ventricular septal defect (VSD) without atrioventricular malalignment without a common atrioventricular junction.
071004,071004. Outlet perimembranous ventricular septal defect (VSD) with anteriorly malaligned of outlet septum.
071012,071012. VSD + malaligned outlet septum
071017,071017.Outlet ventricular septal defect (VSD) with anteriorly malaligned outlet septum.
071018,071018.Outlet ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071019,071019. Outlet perimembranous ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071101,071101. Muscular VSD
071102,071102.Inlet muscular ventricular septal defect (VSD).
071103,071103.Trabecular muscular ventricular septal defect (VSD) apical.
071104,071104.Trabecular muscular ventricular septal defect (VSD) midseptal.
071105,071105.Trabecular muscular ventricular septal defect (VSD)s multiple (Swiss cheese septum).
071106,071106. Outlet muscular ventricular septal defect (VSD) without malalignment.
071107,071107.Trabecular muscular ventricular septal defect (VSD) anterosuperior.
071112,071112.Trabecular muscular ventricular septal defect (VSD) postero-inferior.
071115,071115. Outlet muscular ventricular septal defect (VSD) with anteriorly malaligned outlet septum.
071116,071116. Outlet muscular ventricular septal defect (VSD) with posteriorly malaligned outlet septum.
071200,071200. Subarterial VSD
071201,071201. Doubly committed subarterial VSD
071202,071202. Doubly committed juxta-arterial ventricular septal defect (VSD) without malalignment and with muscular postero-inferior rim.
071203,071203. Doubly committed juxta-arterial ventricular septal defect (VSD) without malalignment and with perimembranous extension.
071205,071205. Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum and perimembranous extension.
071206,071206. Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned fibrous outlet septum and perimembranous extension.
071207,071207. Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum and muscular postero-inferior rim.
071208,071208. Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned outlet septum and muscular postero-inferior rim.
071209,071209.Outlet ventricular septal defect (VSD) without malalignment.
071212,071212.Doubly committed juxta-arterial ventricular septal defect (VSD) with anteriorly malaligned fibrous outlet septum.
071213,071213.Doubly committed juxta-arterial ventricular septal defect (VSD) with posteriorly malaligned fibrous outlet septum.
071405,071405. Inlet VSD
071406,071406.Inlet perimembranous ventricular septal defect (VSD) with atrioventricular septal malalignment and without common atrioventricular junction.
071504,071504. Multiple VSDs
090101,090101. Common arterial trunk (truncus arteriosus)
090111,090111. Common arterial trunk (truncus arteriosus) with aortic dominance and one pulmonary artery absent from trunk. isolated pulmonary artery.
090112,090112. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic arch obstruction.
090114,090114. Common arterial trunk (truncus arteriosus) with aortic dominance and both pulmonary arteries arising from trunk.
090115,090115. Common arterial trunk (truncus arteriosus) with aortic dominance (no aortic arch obstruction)
090118,090118. Common arterial trunk (truncus arteriosus) with pulmonary dominance and interrupted aortic arch.
090119,090119. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic coarctation.
090200,090200. Truncal valvar abnormality
090201,090201.Dysplasia of truncal valve.
090203,090203. Truncal valvar regurgitation
090218,090218.Congenital truncal valvar stenosis.
090219,090219.Congenital truncal valvar regurgitation.
090401,090401. Aortopulmonary window
090407,090407.Congenital aortopulmonary window.
090501,090501. Pulmonary valvar stenosis
090504,090504. Pulmonary valvar stenosis: congenital
090505,090505.Pulmonary 'annular' hypoplasia.
090511,090511. Pulmonary atresia
090512,090512. Pulmonary atresia: imperforate valve
090516,090516.Congenital pulmonary atresia.
090525,090525. Tetralogy of Fallot with absent pulmonary valve syndrome
090592,090592. Pulmonary stenosis
090705,090705. Absent or atretic pulmonary trunk (main pulmonary artery).
090711,090711. Pulmonary trunk hypoplasia
090713,090713. Supravalvar pulmonary trunk stenosis
090715,090715.Congenital supravalvar pulmonary stenosis.
090716,090716.Congenital anomaly of pulmonary arterial tree.
090719,090719. Congenital pulmonary trunk (main pulmonary artery) anomaly.
090720,090720. Congenital pulmonary trunk hypoplasia.
090726,090726. Solitary arterial trunk (absent intrapericardial pulmonary arteries)
090801,090801. Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
090902,090902.Right pulmonary artery from arterial duct.
090903,090903.Right pulmonary artery from ascending aorta.
090904,090904.Left pulmonary artery from arterial duct.
090905,090905.Left pulmonary artery from ascending aorta.
090908,090908. Pulmonary artery from ascending aorta (hemitruncus)
090911,090911. Pulmonary artery from arterial duct.
091001,091001. Pulmonary arterial stenosis
091006,091006. Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation
091007,091007. Central pulmonary arterial stenosis: proximal to hilar bifurcation
091010,091010. Discontinuous (non-confluent) pulmonary arteries
091025,091025. Right pulmonary arterial stenosis
091026,091026. Left pulmonary arterial stenosis
091027,091027.Congenital pulmonary arterial branch stenosis.
091028,091028.Congenital right pulmonary arterial stenosis.
091029,091029. Congenital left pulmonary arterial stenosis.
091030,091030.Congenitally discontinuous. non-confluent right and left pulmonary arteries.
091037,091037.Congenital central pulmonary arterial stenosis or hypoplasia proximal to hilar bifurcation.
091038,091038. Congenital peripheral pulmonary arterial stenoses or hypoplasia at or beyond hilar bifurcation.
091075,091075.Absent or atretic right pulmonary artery.
091077,091077.Absent or atretic left pulmonary artery.
091503,091503. Aortic atresia
091506,091506. Aortic valvar atresia.
091600,091600. Supravalvar aortic stenosis
091618,091618. Congenital supravalvar aortic stenosis.
091701,091701. Aortoventricular tunnel
091702,091702. Aorto - left ventricular tunnel
092025,092025. Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es)
092931,092931. Interrupted aortic arch
092932,092932. Interrupted aortic arch distal to subclavian artery. type A.
092933,092933. Interrupted aortic arch between subclavian & common carotid arteries. type B.
092934,092934. Interrupted aortic arch between carotid arteries. type C.
093134,093134.Vascular ring of left aortic arch and right arterial duct or ligament.
093135,093135.Vascular ring of right aortic arch and left arterial duct or ligament.
094101,094101. Anomalous origin of coronary artery from pulmonary artery
094103,094103. Anomalous origin of left coronary artery from pulmonary artery (ALCAPA).
094221,094221.Anomalous aortic origin of coronary artery with ventriculo-arterial concordance.
120143,120143 Atrial septectomy
120643,120643 Right ventricle to pulmonary artery valveless conduit construction (Japanese modification: 'Sano') as part of Norwood procedure
120801,"120801 Ventricular septal defect (VSD) closure,"
120802,120802 Ventricular septal defect (VSD) closure by direct suture
120803,"120803 Ventricular septal defect (VSD) closure using patch,"
120828,120828 Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach)
120903,"120903 Damus-Kaye-Stansel type procedure: pulmonary trunk to aorta end/side anastomosis,"
121004,"121004 ""Hybrid approach 'Stage 1': application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct "
121402,"121402 Pulmonary trunk band (PA band),"
121403,"121403 Pulmonary trunk band removal (de-band),"
121405,"121405 Balloon dilation of pulmonary trunk,"
121640,"121640 Supravalvar aortic stenosis repair,"
121661,"121661 Aortic valve closure-oversewing,"
122022,"122022 Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2':  aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries,"
123103,"123103 Modified right Blalock interposition shunt,"
123106,"123106 Central systemic-to-pulmonary arterial interposition shunt,"
123111,"123111 Bidirectional superior cavopulmonary (Glenn) anastomosis,"
150503,150503. Pulmonary vein obstruction
