HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr98	Yr00	Yr01	Yr02	Yr03	Yr04	Yr05	Yr06	Yr07	Yr08	Yr09	Yr10	Yr11
C07	"Minor Medical Head, Neck or Ear Diagnoses <70 w/o cc"	0	0					1	1	1	1	1	1	1	1	1
C11	Ear Procedures - Category 2	0	0	1	1	1	1									
C12	Nose Procedures - Category 2	0	0	1	1	1	1									
C14	Mouth or Throat Procedures - Category 2	0	0	1	1	1	1									
C15	ENT Bone Procedures - Category 2	0	0	1	1	1	1									
C15	Minor Maxillo-facial/ENT procedures	0	0					1	1	1	1	1	1	1	1	1
C16	Mouth Head Neck or Ear Diagnoses - Category 2 >69 or w cc	0	0	1	1	1										
C16	"Mouth, Head, Neck or Ear Diagnoses - Category 2 >69 or w cc"	0	0				1									
C16	"Intermediate Medical Head, Neck or Ear Diagnoses w cc"	0	0					1	1	1	1	1	1	1	1	1
C17	Mouth Head Neck or Ear Diagnoses - Category 2 <70 w/o cc	0	0	1	1	1										
C17	"Mouth, Head, Neck or Ear Diagnoses - Category 2 <70 w/o cc"	0	0				1									
C17	"Intermediate Medical Head, Neck or Ear Diagnoses w/o cc"	0	0					1	1	1	1	1	1	1	1	1
C21	Ear Procedures - Category 3	0	0	1	1	1	1									
C21	Intermediate Ear Procedures	0	0					1	1	1	1	1	1	1	1	1
C22	Nose Procedures - Category 3	0	0	1	1	1	1									
C22	Intermediate Nose Procedures	0	0					1	1	1	1	1	1	1	1	1
C24	Mouth or Throat Procedures - Category 3	0	0	1	1	1	1									
C25	ENT Bone Procedures - Category 3	0	0	1	1	1	1									
C25	Intermediate Maxillo-facial/ENT procedures	0	0					1	1	1	1	1	1	1	1	1
C26	Mouth Head Neck or Ear Diagnoses - Category 3 >69 or w cc	0	0	1	1	1										
C26	"Mouth, Head, Neck or Ear Diagnoses - Category 3 >69 or w cc"	0	0				1									
C26	"Major Medical, Head, Neck or Ear Diagnoses w cc"	0	0					1	1	1	1	1	1	1	1	1
C27	Mouth Head Neck or Ear Diagnoses - Category 3 <70 w/o cc	0	0	1	1	1										
C27	"Mouth, Head, Neck or Ear Diagnoses - Category 3 <70 w/o cc"	0	0				1									
C27	"Major Medical, Head, Neck or Ear Diagnoses w/o cc"	0	0					1	1	1	1	1	1	1	1	1
C31	Ear Procedures - Category 4	0	0	1	1	1	1									
C31	Major Ear Procedures	0	0					1	1	1	1	1	1	1	1	1
C32	Nose Procedures - Category 4	0	0	1	1	1	1									
C32	Major Nose Procedures	0	0					1	1	1	1	1	1	1	1	1
C34	Mouth or Throat Procedures - Category 4	0	0	1	1	1	1									
C35	ENT Bone Procedures - Category 4	0	0	1	1	1	1									
C35	Major Maxillo-facial/ENT Procedures	0	0					1	1	1	1	1	1	1	1	1
C36	Mouth Head Neck or Ear Diagnoses - Category 4 >69 or w cc	0	0	1	1	1										
C36	"Mouth, Head, Neck or Ear Diagnoses - Category 4 >69 or w cc"	0	0				1									
C36	"Complex Major Head, Neck or Ear Diagnoses >69 or w cc"	0	0					1	1	1	1	1	1	1	1	1
C37	Mouth Head Neck or Ear Diagnoses - Category 4 <70 w/o cc	0	0	1	1	1										
C37	"Mouth, Head, Neck or Ear Diagnoses - Category 4 <70 w/o cc"	0	0				1									
C37	"Complex Major Head, Neck or Ear Diagnoses <70 w/o cc"	0	0					1	1	1	1	1	1	1	1	1
C41	Ear Procedures - Category 5	0	0	1	1	1	1									
C41	Complex Major Ear Procedures	0	0					1	1	1	1	1	1	1	1	1
C42	Nose Procedures - Category 5	0	0	1	1	1	1									
C42	Complex Major Nose Procedures	0	0					1	1	1	1	1	1	1	1	1
C43	Mouth or Throat Procedures - Category 5 >69 or w cc	0	0	1	1	1	1									
C44	Mouth or Throat Procedures - Category 5 <70 w/o cc	0	0	1	1	1	1									
C45	ENT Bone Procedures - Category 5	0	0	1	1	1	1									
C45	ENT Complex Major Maxillo-facial Procedures	0	0					1	1	1	1	1	1	1	1	1
C54	Mouth or Throat Procedures - Category 6	0	0	1	1	1	1									
C54	Complex Major Mouth or Throat Procedures	0	0					1	1	1	1	1	1	1	1	1
C55	Minor Ear Procedures	0	0					1	1	1	1	1	1	1	1	1
C56	Minor Nose Procedures	0	0					1	1	1	1	1	1	1	1	1
C57	Major Mouth or Throat Procedures	0	0					1	1	1	1	1	1	1	1	1
C58	Intermediate Mouth or Throat Procedures	0	0					1	1	1	1	1	1	1	1	1
C59	Exteriorisation of Trachea	0	0					1	1	1	1	1	1	1	1	1
C60	Cochlea Implants	0	0					1	1	1	1	1	1	1	1	1
C98	Chemotherapy with a Mouth Head Neck or Ear Primary Diagnosis	0	0	1	1	1										
C98	"Chemotherapy with a Mouth, Head, Neck or Ear Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
C99	Complex Elderly with a Mouth Head Neck or Ear Primary Diagnosis	0	0	1	1	1										
C99	"Complex Elderly with a Mouth, Head, Neck or Ear Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
D01	Lung Transplant	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D02	Complex Thoracic Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D03	Major Thoracic Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D04	Intermediate Thoracic Procedures w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D05	Intermediate Thoracic Procedures w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D06	Minor Thoracic Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D07	Fibreoptic Bronchoscopy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D08	Rigid Bronchoscopy	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D09	Pulmonary Embolus - Died	0	0	1	1	1	1									
D10	Pulmonary Embolus >69 or w cc	0	0	1	1	1	1									
D10	Pulmonary Embolis w cc	0	0					1	1	1	1	1	1	1	1	1
D11	Pulmonary Embolus <70 w/o cc	0	0	1	1	1	1									
D11	Pulmonary Embolis w/o cc	0	0					1	1	1	1	1	1	1	1	1
D12	Lung Abscess-Empyema	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D13	Lobar Atypical or Viral Pneumonia >69 or w cc	0	0	1	1	1										
D13	"Lobar, Atypical or Viral Pneumonia >69 or w cc"	0	0				1									
D13	"Lobar, Atypical or Viral Pneumonia w cc"	0	0					1	1	1	1	1	1	1	1	1
D14	Lobar Atypical or Viral Pneumonia <70 w/o cc	0	0	1	1	1										
D14	"Lobar, Atypical or Viral Pneumonia <70 w/o cc"	0	0				1									
D14	"Lobar, Atypical or Viral Pneumonia w/o cc"	0	0					1	1	1	1	1	1	1	1	1
D15	Bronchopneumonia	0	0	1	1	1	1									
D16	Bronchiectasis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D17	Cystic Fibrosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D18	Pulmonary or Pleural Tuberculosis	0	0	1	1	1	1									
D18	"Pulmonary, Pleural or Other Tuberculosis"	0	0					1	1	1	1	1	1	1	1	1
D19	Other Tuberculosis	0	0	1	1	1	1									
D20	Chronic Obstructive Pulmonary Disease or Bronchitis	0	0	1	1	1	1									
D21	Asthma >49 or w cc	0	0	1	1	1	1									
D21	Asthma w cc	0	0					1	1	1	1	1	1	1	1	1
D22	Asthma <50 w/o cc	0	0	1	1	1	1									
D22	Asthma w/o cc	0	0					1	1	1	1	1	1	1	1	1
D23	Pleural Effusion or Pleurisy >69 or w cc	0	0	1	1	1	1									
D23	Pleural Effusion w cc	0	0					1	1	1	1	1	1	1	1	1
D24	Pleural Effusion or Pleurisy <70 w/o cc	0	0	1	1	1	1									
D24	Pleural Effusion w/o cc	0	0					1	1	1	1	1	1	1	1	1
D25	Respiratory Neoplasms	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D26	Fibrosis or Pneumoconiosis	0	0	1	1	1	1									
D27	Extrinsic Allergic Alveolitis or Pulmonary Eosinophilia	0	0	1	1	1	1									
D28	Granulomatous or Other Lung Disease	0	0	1	1	1	1									
D29	Inhalation Lung Injury or Foreign Body Aspiration	0	0	1	1	1	1									
D30	Pneumothorax	0	0	1	1	1	1									
D31	Sleep Disordered Breathing	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D32	Respiratory Failure	0	0	1	1	1	1									
D33	Other Respiratory Diagnoses >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D34	Other Respiratory Diagnoses <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D37	Pulmonary Oedema	0	0					1	1	1	1	1	1	1	1	1
D39	Chronic Obstructive Pulmonary Disease or Bronchitis w cc	0	0					1	1	1	1	1	1	1	1	1
D40	Chronic Obstructive Pulmonary Disease or Bronchitis w/o cc	0	0					1	1	1	1	1	1	1	1	1
D41	Unspecified Acute Lower Respiratory Infection	0	0					1	1	1	1	1	1	1	1	1
D42	Bronchopneumonia w cc	0	0					1	1	1	1	1	1	1	1	1
D43	Bronchopneumonia w/o cc	0	0					1	1	1	1	1	1	1	1	1
D44	Inhalation Lung Injury or Foreign Body  w cc	0	0					1	1	1	1	1	1	1	1	1
D45	Inhalation Lung Injury or Foreign Body  w/o cc	0	0					1	1	1	1	1	1	1	1	1
D46	Fibrosis or Pneumoconiosis w cc	0	0					1	1	1	1	1	1	1	1	1
D47	Fibrosis or Pneumoconiosis w/o cc	0	0					1	1	1	1	1	1	1	1	1
D48	Pneumothorax w cc	0	0					1	1	1	1	1	1	1	1	1
D49	Pneumothorax w/o cc	0	0					1	1	1	1	1	1	1	1	1
D50	Respiratory Failure w cc	0	0					1	1	1	1	1	1	1	1	1
D51	Respiratory Failure w/o cc	0	0					1	1	1	1	1	1	1	1	1
D52	Plurisy	0	0					1	1	1	1	1	1	1	1	1
D53	"Granulomatous, Allergic Alveolitis or Autoamune Lung Disease"	0	0					1	1	1	1	1	1	1	1	1
D98	Chemotherapy with a Respiratory System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
D99	Complex Elderly with a Respiratory System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E01	Heart and Lung Transplant	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E02	Heart Transplant	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E03	Cardiac Valve Procedures	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E04	Coronary Bypass	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E05	Other Cardiothoracic Procedures with Cardiopulmonary Support	1	0	1	1	1	1									
E06	Other Cardiothoracic Procedures without Cardiopulmonary Support	1	0	1	1	1	1									
E07	Pacemaker Implant for AMI Heart Failure or Shock	1	0	1	1	1										
E07	"Pacemaker Implant for AMI, Heart Failure or Shock"	1	0				1	1	1	1	1	1	1	1	1	1
E08	Pacemaker Implant except for AMI Heart Failure or Shock	1	0	1	1	1										
E08	"Pacemaker Implant except for AMI, Heart Failure or Shock"	1	0				1	1	1	1	1	1	1	1	1	1
E09	Cardiac Pacemaker Replacement/Revision	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E10	Other Circulatory Procedures	1	0	1	1	1	1									
E11	Acute Myocardial Infarction w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E12	Acute Myocardial Infarction w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E13	Cardiac Catheterisation with Complications	1	1	1	1	1	1									
E13	Cardiac Catheterisation and Angiography with complications	1	1					1	1	1	1	1	1	1	1	1
E14	Cardiac Catheterisation without Complications	1	0	1	1	1	1									
E14	Cardiac Catheterisation and Angiography without complications	1	0					1	1	1	1	1	1	1	1	1
E15	Percutaneous Transluminal Coronary Angioplasty (PTCA)	1	0	1	1	1	1									
E15	Percutaneous Coronary Intervention	1	0					1	1	1	1	1	1	1	1	1
E16	Other Percutaneous Cardiac Procedures	1	0	1	1	1	1									
E17	Endocarditis	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E18	Heart Failure or Shock >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E19	Heart Failure or Shock <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E20	Deep Vein Thrombosis >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E21	Deep Vein Thrombosis <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E22	Coronary Atherosclerosis >69 or w cc	1	0	1	1	1	1									
E22	Ischaemic Heart Disease without intervention >69 or w cc	1	0					1	1	1	1	1	1	1	1	1
E23	Coronary Atherosclerosis <70 w/o cc	1	0	1	1	1	1									
E23	Ischaemic Heart Disease without intervention <70 w/o cc	1	0					1	1	1	1	1	1	1	1	1
E24	Hypertension >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E25	Hypertension <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E26	Congenital or Valvular Disorders >69 or w cc	1	0	1	1	1	1									
E27	Congenital or Valvular Disorders <70 w/o cc	1	0	1	1	1	1									
E28	Cardiac Arrest	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E29	Arrhythmia or Conduction Disorders >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E30	Arrhythmia or Conduction Disorders <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E31	Syncope or Collapse >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E32	Syncope or Collapse <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E33	Angina >69 or w cc	1	0	1	1	1	1									
E34	Angina <70 w/o cc	1	0	1	1	1	1									
E35	Chest Pain >69 or w cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E36	Chest Pain <70 w/o cc	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E37	Other Cardiac Diagnoses	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
E38	Electrophysiological and other Percutaneous Cardiac Procedures >18	1	0			1		1	1	1	1	1	1	1	1	1
E39	Electrophysiological and other Percutaneous Cardiac Procedures <19	1	0					1	1	1	1	1	1	1	1	1
E40	Other Cardiothoracic or Circulatory Procedures >18	1	0					1	1	1	1	1	1	1	1	1
E41	Other Cardiothoracic or Circulatory Procedures <19	1	0					1	1	1	1	1	1	1	1	1
E42	Valve Disorders	1	0					1	1	1	1	1	1	1	1	1
E43	Congenital Disorders	1	0					1	1	1	1	1	1	1	1	1
E99	Complex Elderly with a Cardiac Primary Diagnosis	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F01	Oesophagus - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F02	Oesophagus - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F03	Oesophagus - Major Procedures or Prostheses	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F04	Oesophagus - Therapeutic Endoscopic or Intermediate Procs. w cc	0	0	1	1	1										
F04	Oesophagus - Therapeutic Endoscopic or Intermediate Procedures w cc	0	0				1									
F04	Therapeutic endoscopic procedures	0	0					1	1	1	1	1	1	1	1	1
F05	Oesophagus - Therapeutic Endoscopic or Intermediate Procs. w/o cc	0	0	1	1	1										
F05	Oesophagus - Therapeutic Endoscopic or Intermediate Procedures w/o cc	0	0				1									
F06	Oesophagus - Diagnostic Procedures	0	0	1	1	1	1									
F06	"Diagnostic Procedures, Oesophagus and Stomach"	0	0					1	1	1	1	1	1	1	1	1
F07	Disorders of the Oesophagus >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F08	Disorders of the Oesophagus <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F11	Stomach or Duodenum - Complex Procedures	0	0	1	1	1	1									
F12	Stomach or Duodenum - Very Major Procedures	0	0	1	1	1	1									
F12	Stomach or Duodenum Very Major Procedures	0	0					1	1	1	1	1	1	1	1	1
F13	Stomach or Duodenum - Major Procedures >49 or w cc	0	0	1	1	1	1									
F13	Stomach or Duodenum - Major Procedures >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
F14	Stomach or Duodenum - Major Procedures <50 w/o cc	0	0	1	1	1	1									
F14	Stomach or Duodenum - Major Procedures <70 or w/o cc	0	0					1	1	1	1	1	1	1	1	1
F15	Stomach or Duodenum - Therapeutic Endoscopic or Intermediate Proc.	0	0	1	1	1										
F15	Stomach or Duodenum - Therapeutic Endoscopic or Intermediate Procedures	0	0				1	1	1	1	1	1	1	1	1	1
F16	Stomach or Duodenum - Diagnostic Procedures	0	0	1	1	1	1									
F17	Stomach or Duodenum Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F18	Stomach or Duodenum Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F21	Small Intestine - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F22	Small Intestine - Major Procedures >49 or w cc	0	0	1	1	1	1									
F22	Small Intestine - Major Procedures >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
F23	Small Intestine - Major Procedures <50 w/o cc	0	0	1	1	1	1									
F23	Small Intestine - Major Procedures <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
F24	Small Intestinal Disorders (excluding IBD)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F31	Large Intestine - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F32	Large Intestine - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F33	Large Intestine - Major Procedures w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F34	Large Intestine - Major Procedures w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F35	Large Intestine - Endoscopic or Intermediate Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F36	Large Intestinal Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F37	Large Intestinal Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F41	General Abdominal - Very Major or Major Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F42	General Abdominal - Very Major or Major Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F43	General Abdominal - Endoscopic or Intermediate Procs. >69 or w cc	0	0	1	1	1										
F43	General Abdominal - Endoscopic or Intermediate Procedures >69 or w cc	0	0				1	1	1	1	1	1	1	1	1	1
F44	General Abdominal - Endoscopic or Intermediate Procs. <70 w/o cc	0	0	1	1	1										
F44	General Abdominal - Endoscopic or Intermediate Procedures <70 w/o cc	0	0				1	1	1	1	1	1	1	1	1	1
F45	General Abdominal - Diagnostic Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F46	General Abdominal Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F47	General Abdominal Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F48	Intestinal Infectious Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F49	Intestinal Infectious Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F51	Inflammatory Bowel Disease - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F52	Inflammatory Bowel Disease - Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F53	Inflammatory Bowel Dis. - Endo. or Intermediate Procs. >69 or w cc	0	0	1	1	1										
F53	Inflammatory Bowel Disease - Endoscopic or Intermediate Procedures >69 or w cc	0	0				1	1	1	1	1	1	1	1	1	1
F54	Inflammatory Bowel Dis. - Endo. or Intermediate Procs. <70 w/o cc	0	0	1	1	1										
