HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr09	Yr10	Yr11	Yr12	Yr13	Yr14	Yr15	Yr16
AA12B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 3 WITHOUT CC	0	0				1	1	1		
AA12B	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITHOUT CC	0	0							1	1
AA12Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 3	0	0	1	1	1	1				
AA13A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 3 WITH CC	0	0				1	1	1		
AA13A	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC	0	0							1	1
AA13B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 3 WITHOUT CC	0	0				1	1	1		
AA13B	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITHOUT CC	0	0							1	1
AA13Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 3	0	0	1	1	1	1				
AA14A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 3 WITH CC"	0	0					1	1		
AA14A	"INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITH CC"	0	0							1	1
AA14B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 3 WITHOUT CC"	0	0					1	1		
AA14B	"INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITHOUT CC"	0	0							1	1
AA14Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS; EPILEPSY; HEAD INJURY CATEGORY 3"	0	0	1	1	1					
AA14Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 3"	0	0				1				
AA15A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 3 WITH CC	0	0				1	1	1		
AA15A	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITH CC	0	0							1	1
AA15B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 3 WITHOUT CC	0	0				1	1	1		
AA15B	INTERMEDIATE INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITHOUT CC	0	0							1	1
AA15Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 3	0	0	1	1	1	1				
AA16A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 1 OR 2 WITH CC"	0	0				1	1	1		
AA16A	"MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC"	0	0							1	1
AA16B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 1 OR 2 WITHOUT CC"	0	0					1	1		
AA16B	"MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITHOUT CC"	0	0							1	1
AA16Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY CATEGORY 1 OR 2"	0	0	1	1	1	1				
AA17A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 1 OR 2 WITH CC	0	0				1	1	1		
AA17A	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC	0	0							1	1
AA17B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 1 OR 2 WITHOUT CC	0	0				1	1	1		
AA17B	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITHOUT CC	0	0							1	1
AA17Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH HAEMORRHAGIC CEREBROVASCULAR DISORDERS CATEGORY 1 OR 2	0	0	1	1	1	1				
AA18A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 1 OR 2 WITH CC	0	0				1	1	1		
AA18A	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC	0	0							1	1
AA18B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 1 OR 2 WITHOUT CC	0	0				1	1	1		
AA18B	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS WITHOUT CC	0	0							1	1
AA18Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH BRAIN TUMOURS OR CEREBRAL CYSTS CATEGORY 1 OR 2	0	0	1	1	1	1	1			
AA19A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 1 OR 2 WITH CC	0	0				1	1	1		
AA19A	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC	0	0							1	1
AA19B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 1 OR 2 WITHOUT CC	0	0					1	1		
AA19B	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITHOUT CC	0	0							1	1
AA19Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM CATEGORY 1 OR 2	0	0	1	1	1	1				
AA20A	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 1 OR 2 WITH CC"	0	0				1	1	1		
AA20A	"MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITH CC"	0	0							1	1
AA20B	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 1 OR 2 WITHOUT CC"	0	0					1	1		
AA20B	"MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY WITHOUT CC"	0	0							1	1
AA20Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS; EPILEPSY; HEAD INJURY CATEGORY 1 OR 2"	0	0	1	1	1					
AA20Z	"INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS OR EPILEPSY CATEGORY 1 OR 2"	0	0				1				
AA21A	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 1 OR 2 WITH CC	0	0				1	1	1		
AA21A	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITH CC	0	0							1	1
AA21B	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 1 OR 2 WITHOUT CC	0	0				1	1	1		
AA21B	MINOR INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES WITHOUT CC	0	0							1	1
AA21Z	INTRACRANIAL PROCEDURES EXCEPT TRAUMA WITH OTHER DIAGNOSES CATEGORY 1 OR 2	0	0	1	1	1	1				
AA22A	"NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITH CC"	0	0				1	1	1	1	1
AA22B	"NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY WITHOUT CC"	0	0				1	1	1	1	1
AA22Z	"NON TRANSIENT STROKE OR CEREBROVASCULAR ACCIDENT, NERVOUS SYSTEM INFECTIONS OR ENCEPHALOPATHY"	0	0	1	1	1	1				
AA23A	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITH CC	0	0				1	1	1	1	1
AA23B	HAEMORRHAGIC CEREBROVASCULAR DISORDERS WITHOUT CC	0	0				1	1	1	1	1
AA23Z	HAEMORRHAGIC CEREBROVASCULAR DISORDERS	0	0	1	1	1	1				
AA24A	BRAIN TUMOURS OR CEREBRAL CYSTS WITH CC	0	0				1	1	1	1	1
AA24B	BRAIN TUMOURS OR CEREBRAL CYSTS WITHOUT CC	0	0				1	1	1	1	1
AA24Z	BRAIN TUMOURS OR CEREBRAL CYSTS	0	0	1	1	1	1				
AA25A	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITH CC	0	0				1	1	1	1	1
AA25B	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM WITHOUT CC	0	0				1	1	1	1	1
AA25Z	CEREBRAL DEGENERATIONS OR MISCELLANEOUS DISORDERS OF NERVOUS SYSTEM	0	0	1	1	1	1				
AA26A	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS; EPILEPSY; HEAD INJURY WITH CC"	0	0				1	1	1		
AA26A	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITH CC"	0	0							1	1
AA26B	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS; EPILEPSY; HEAD INJURY WITHOUT CC"	0	0				1	1	1		
AA26B	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS, EPILEPSY OR HEAD INJURY WITHOUT CC"	0	0							1	1
AA26Z	"MUSCULAR, BALANCE, CRANIAL OR PERIPHERAL NERVE DISORDERS; EPILEPSY; HEAD INJURY"	0	0	1	1	1	1				
AA27A	MEDICAL CARE OF PATIENTS WITH ALZHEIMER'S DISEASE WITH CC	0	0				1	1	1	1	1
AA27B	MEDICAL CARE OF PATIENTS WITH ALZHEIMER'S DISEASE WITHOUT CC	0	0				1	1	1	1	1
AA27Z	MEDICAL CARE OF PATIENTS WITH ALZHEIMERS DISEASE	0	0	1	1						
AA27Z	MEDICAL CARE OF PATIENTS WITH ALZHEIMER'S DISEASE	0	0			1	1				
AA28A	MOTOR NEURON DISEASE WITH CC	0	0				1	1	1	1	1
AA28B	MOTOR NEURON DISEASE WITHOUT CC	0	0				1	1	1	1	1
AA28Z	MOTOR NEURON DISEASE	0	0	1	1	1	1				
AA29A	TRANSIENT ISCHAEMIC ATTACK WITH CC	0	0				1	1	1	1	1
AA29B	TRANSIENT ISCHAEMIC ATTACK WITHOUT CC	0	0				1	1	1	1	1
AA29Z	TRANSIENT ISCHAEMIC ATTACK	0	0	1	1	1	1				
AA30A	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITH CC	0	0				1	1	1	1	1
AA30B	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS WITHOUT CC	0	0				1	1	1	1	1
AA30Z	MEDICAL CARE OF PATIENTS WITH MULTIPLE SCLEROSIS	0	0	1	1	1	1				
AA31A	"HEADACHE, MIGRAINE OR CEREBROSPINAL FLUID LEAK WITH CC"	0	0				1	1	1	1	1
AA31B	"HEADACHE, MIGRAINE OR CEREBROSPINAL FLUID LEAK WITHOUT CC"	0	0				1	1	1	1	1
AA31Z	HEADACHE OR MIGRAINE	0	0	1	1	1	1				
AA32Z	NEUROPSYCHOLOGY TESTS WITH LENGTH OF STAY 2 DAYS OR LESS	0	0					1	1	1	1
AA33C	CONVENTIONAL EEG OR EMG	0	0				1	1	1		
AA33C	"CONVENTIONAL EEG, EMG OR NERVE CONDUCTION STUDIES WITH LENGTH OF STAY 2 DAYS OR LESS 19 YEARS AND OVER"	0	0							1	1
AA33D	CONVENTIONAL EEG OR EMG	0	0				1	1	1		
AA33D	"CONVENTIONAL EEG, EMG OR NERVE CONDUCTION STUDIES WITH LENGTH OF STAY 2 DAYS OR LESS 18 YEARS AND UNDER"	0	0							1	1
AA34C	NEUROPHYSIOLOGICAL OPERATIONS 19 YEARS AND OVER	0	0				1	1			
AA34D	NEUROPHYSIOLOGICAL OPERATIONS 18 YEARS AND UNDER	0	0				1	1			
AA34E	OTHER NEUROPHYSIOLOGICAL OPERATIONS 19 YEARS AND OVER	0	0						1	1	1
AA34F	OTHER NEUROPHYSIOLOGICAL OPERATIONS 18 YEARS AND UNDER	0	0						1	1	1
AB01Z	COMPLEX NEUROSURGICAL PAIN PROCEDURES	0	0	1	1	1	1				
AB02Z	COMPLEX MAJOR PAIN PROCEDURES	0	0	1	1	1	1	1	1	1	1
AB03Z	COMPLEX PAIN PROCEDURES	0	0	1	1	1	1	1	1	1	1
AB04Z	MAJOR PAIN PROCEDURES	0	0	1	1	1	1	1	1	1	1
AB05Z	INTERMEDIATE PAIN PROCEDURES	0	0	1	1	1	1	1	1	1	1
AB06Z	MINOR PAIN PROCEDURES	0	0	1	1	1	1	1	1	1	1
AB07Z	INSERTION OF NEUROSTIMULATOR OR INTRATHECAL DRUG DELIVERY DEVICE	0	0				1	1	1	1	1
AB08Z	PAIN RADIOFREQUENCY TREATMENTS	0	0					1	1	1	1
AB09Z	OTHER SPECIFIED PAIN PROCEDURES	0	0				1	1	1	1	1
AB10Z	UNSPECIFIED PAIN PROCEDURES	0	0					1	1	1	1
AB11Z	COGNITIVE BEHAVIOURAL THERAPY	0	0					1	1	1	1
BZ01Z	ENHANCED CATARACT SURGERY	0	0	1	1	1	1	1	1	1	1
BZ02Z	PHACOEMULSIFICATION CATARACT EXTRACTION AND LENS IMPLANT	0	0	1	1	1	1	1	1	1	1
BZ03Z	NON PHACOEMULSIFICATION CATARACT SURGERY	0	0	1	1	1	1	1	1	1	1
BZ04Z	LENS CAPSULOTOMY	0	0	1	1	1	1	1	1	1	1
BZ05Z	OCULOPLASTICS CATEGORY 3	0	0	1	1	1	1	1	1		
BZ05Z	MAJOR OCULOPLASTICS PROCEDURES	0	0							1	1
BZ06A	OCULOPLASTICS CATEGORY 2: 19 YEARS AND OVER	0	0	1	1	1	1	1	1		
BZ06A	INTERMEDIATE OCULOPLASTICS PROCEDURES 19 YEARS AND OVER	0	0							1	1
BZ06B	OCULOPLASTICS CATEGORY 2: 18 YEARS AND UNDER	0	0	1	1	1	1	1	1		
BZ06B	INTERMEDIATE OCULOPLASTICS PROCEDURES 18 YEARS AND UNDER	0	0							1	1
BZ07A	OCULOPLASTICS CATEGORY 1: 19 YEARS AND OVER	0	0	1	1	1	1	1	1		
BZ07A	MINOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER	0	0							1	1
BZ07B	OCULOPLASTICS CATEGORY 1: 18 YEARS AND UNDER	0	0	1	1	1	1	1	1		
BZ07B	MINOR OCULOPLASTICS PROCEDURES 18 YEARS AND UNDER	0	0							1	1
BZ08A	ORBITS OR LACRIMAL CATEGORY 3	0	0	1	1	1	1	1	1		
BZ08A	MAJOR ORBITS OR LACRIMAL PROCEDURES 19 YEARS AND OVER	0	0							1	1
BZ08B	ORBITS OR LACRIMAL CATEGORY 3	0	0	1	1	1	1	1	1		
BZ08B	MAJOR ORBITS OR LACRIMAL PROCEDURES 18 YEARS AND UNDER	0	0							1	1
BZ09A	ORBITS OR LACRIMAL CATEGORY 2	0	0	1	1	1	1	1	1		
