HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr17
AA50B	VERY COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 6 11	0	0	1
AA50C	VERY COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 5	0	0	1
AA50D	VERY COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 12	0	0	1
AA50E	VERY COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 6 11	0	0	1
AA50F	VERY COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 0 5	0	0	1
AA51A	COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 12	0	0	1
AA51B	COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 8 11	0	0	1
AA51C	COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 4 7	0	0	1
AA51D	COMPLEX INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 3	0	0	1
AA51E	COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 8	0	0	1
AA51F	COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 4 7	0	0	1
AA51G	COMPLEX INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 0 3	0	0	1
AA52A	VERY MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 12	0	0	1
AA52B	VERY MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 8 11	0	0	1
AA52C	VERY MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 4 7	0	0	1
AA52D	VERY MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 3	0	0	1
AA52E	VERY MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 8	0	0	1
AA52F	VERY MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 4 7	0	0	1
AA52G	VERY MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 0 3	0	0	1
AA53A	MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 12	0	0	1
AA53B	MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 8 11	0	0	1
AA53C	MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 4 7	0	0	1
AA53D	MAJOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 3	0	0	1
AA53E	MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 8	0	0	1
AA53F	MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 4 7	0	0	1
AA53G	MAJOR INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 0 3	0	0	1
AA54A	INTERMEDIATE INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 4	0	0	1
AA54B	INTERMEDIATE INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2 3	0	0	1
AA54C	INTERMEDIATE INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
AA55A	MINOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 4	0	0	1
AA55B	MINOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2 3	0	0	1
AA55C	MINOR INTRACRANIAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
AA56A	"MINOR OR INTERMEDIATE, INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 4"	0	0	1
AA56B	"MINOR OR INTERMEDIATE, INTRACRANIAL PROCEDURES 18 YEARS AND UNDER WITH CC SCORE 0 3"	0	0	1
AA57A	MINIMAL INTRACRANIAL PROCEDURES 19 YEARS AND OVER	0	0	1
AA57B	MINIMAL INTRACRANIAL PROCEDURES 18 YEARS AND UNDER	0	0	1
AA60A	INSERTION OF NEUROSTIMULATOR FOR TREATMENT OF NEUROLOGICAL CONDITIONS 19 YEARS AND OVER	0	0	1
AA60B	INSERTION OF NEUROSTIMULATOR FOR TREATMENT OF NEUROLOGICAL CONDITIONS 18 YEARS AND UNDER	0	0	1
AA61A	INSERTION OF INTRATHECAL DRUG DELIVERY DEVICE FOR TREATMENT OF NEUROLOGICAL CONDITIONS 19 YEARS AND OVER	0	0	1
AA61B	INSERTION OF INTRATHECAL DRUG DELIVERY DEVICE FOR TREATMENT OF NEUROLOGICAL CONDITIONS 18 YEARS AND UNDER	0	0	1
AA70Z	STEREOTACTIC INTRACRANIAL RADIOSURGERY FOR ARTERIOVENOUS MALFORMATIONS	0	0	1
AA71A	"STEREOTACTIC INTRACRANIAL RADIOSURGERY, FOR NEOPLASMS OR OTHER NEUROLOGICAL CONDITIONS WITH CC SCORE 4"	0	0	1
AA71B	"STEREOTACTIC INTRACRANIAL RADIOSURGERY, FOR NEOPLASMS OR OTHER NEUROLOGICAL CONDITIONS WITH CC SCORE 0 3"	0	0	1
AA80Z	COMPLEX LONG TERM EEG MONITORING	0	0	1
AA81Z	STANDARD LONG TERM EEG MONITORING	0	0	1
AB11Z	COGNITIVE BEHAVIOURAL THERAPY AS PART OF A PAIN MANAGEMENT PROGRAMME	0	0	1
AB12Z	INSERTION OF NEUROSTIMULATOR FOR PAIN MANAGEMENT	0	0	1
AB13Z	INSERTION OF INTRATHECAL DRUG DELIVERY DEVICE FOR PAIN MANAGEMENT	0	0	1
AB14Z	INSERTION OF NEUROSTIMULATOR ELECTRODES FOR PAIN MANAGEMENT	0	0	1
AB15Z	"RADIOFREQUENCY ABLATION OR CRYOABLATION, FOR PAIN MANAGEMENT"	0	0	1
AB16Z	"DENERVATION OR INJECTION AROUND SPINAL FACET, FOR PAIN MANAGEMENT"	0	0	1
AB17Z	"NERVE BLOCK OR DESTRUCTION OF NERVE, FOR PAIN MANAGEMENT"	0	0	1
AB18Z	CONTINUOUS INFUSION OF THERAPEUTIC SUBSTANCE FOR PAIN MANAGEMENT	0	0	1
AB19Z	INJECTION OF THERAPEUTIC SUBSTANCE INTO JOINT FOR PAIN MANAGEMENT	0	0	1
AB20Z	EPIDURAL UNDER IMAGE CONTROL FOR PAIN MANAGEMENT	0	0	1
AB21Z	"EPIDURAL OR THERAPEUTIC SPINAL PUNCTURE, FOR PAIN MANAGEMENT"	0	0	1
AB22Z	TRIGGER POINT INJECTION FOR PAIN MANAGEMENT	0	0	1
AB23Z	ACUPUNCTURE FOR PAIN MANAGEMENT	0	0	1
BZ24D	NON SURGICAL OPHTHALMOLOGY WITH INTERVENTIONS	0	0	1
BZ24E	NON SURGICAL OPHTHALMOLOGY WITHOUT INTERVENTIONS WITH CC SCORE 5	0	0	1
BZ24F	NON SURGICAL OPHTHALMOLOGY WITHOUT INTERVENTIONS WITH CC SCORE 2 4	0	0	1
BZ24G	NON SURGICAL OPHTHALMOLOGY WITHOUT INTERVENTIONS WITH CC SCORE 0 1	0	0	1
BZ30A	"COMPLEX, CATARACT OR LENS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ30B	"COMPLEX, CATARACT OR LENS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ31A	"VERY MAJOR, CATARACT OR LENS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ31B	"VERY MAJOR, CATARACT OR LENS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ32A	"INTERMEDIATE, CATARACT OR LENS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ32B	"INTERMEDIATE, CATARACT OR LENS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ33Z	"MINOR, CATARACT OR LENS PROCEDURES"	0	0	1
BZ34A	PHACOEMULSIFICATION CATARACT EXTRACTION AND LENS IMPLANT WITH CC SCORE 4	0	0	1
BZ34B	PHACOEMULSIFICATION CATARACT EXTRACTION AND LENS IMPLANT WITH CC SCORE 2 3	0	0	1
BZ34C	PHACOEMULSIFICATION CATARACT EXTRACTION AND LENS IMPLANT WITH CC SCORE 0 1	0	0	1
BZ40Z	VERY COMPLEX OCULOPLASTICS PROCEDURES	0	0	1
BZ41A	COMPLEX OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ41B	COMPLEX OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ42A	VERY MAJOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ42B	VERY MAJOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ43Z	"COMPLEX OR VERY MAJOR, OCULOPLASTICS PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ44A	MAJOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ44B	MAJOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ44C	MAJOR OCULOPLASTICS PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ45A	INTERMEDIATE OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ45B	INTERMEDIATE OCULOPLASTICS PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ45C	"INTERMEDIATE OCULOPLASTICS PROCEDURES, BETWEEN 4 AND 18 YEARS"	0	0	1
BZ45D	"INTERMEDIATE OCULOPLASTICS PROCEDURES, 3 YEARS AND UNDER"	0	0	1
BZ46A	MINOR OCULOPLASTICS PROCEDURES 19 YEARS AND OVER	0	0	1
BZ46B	MINOR OCULOPLASTICS PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ50Z	"VERY COMPLEX, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER"	0	0	1
BZ51A	"COMPLEX, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 1"	0	0	1
BZ51B	"COMPLEX, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0"	0	0	1
BZ52Z	"VERY COMPLEX OR COMPLEX, ORBIT OR LACRIMAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ53A	"VERY MAJOR, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 1"	0	0	1
BZ53B	"VERY MAJOR, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0"	0	0	1
BZ54A	"MAJOR, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 1"	0	0	1
BZ54B	"MAJOR, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0"	0	0	1
BZ55Z	"VERY MAJOR OR MAJOR, ORBIT OR LACRIMAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ56A	"INTERMEDIATE, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 1"	0	0	1
BZ56B	"INTERMEDIATE, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0"	0	0	1
BZ56C	"INTERMEDIATE, ORBIT OR LACRIMAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ57A	"MINOR, ORBIT OR LACRIMAL PROCEDURES 19 YEARS AND OVER"	0	0	1
BZ57B	"MINOR, ORBIT OR LACRIMAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ60A	"VERY COMPLEX, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 2"	0	0	1
BZ60B	"VERY COMPLEX, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ61A	"COMPLEX, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 2"	0	0	1
BZ61B	"COMPLEX, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ62A	"VERY MAJOR, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 1"	0	0	1
BZ62B	"VERY MAJOR, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 0"	0	0	1
BZ63A	"MAJOR, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 1"	0	0	1
BZ63B	"MAJOR, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 0"	0	0	1
BZ64A	"INTERMEDIATE, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 1"	0	0	1
BZ64B	"INTERMEDIATE, CORNEA OR SCLERA PROCEDURES WITH CC SCORE 0"	0	0	1
BZ65Z	"MINOR, CORNEA OR SCLERA PROCEDURES"	0	0	1
BZ70Z	COMPLEX OCULAR MOTILITY PROCEDURES	0	0	1
BZ71A	VERY MAJOR OCULAR MOTILITY PROCEDURES 19 YEARS AND OVER	0	0	1
BZ71B	VERY MAJOR OCULAR MOTILITY PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ72A	MAJOR OCULAR MOTILITY PROCEDURES 19 YEARS AND OVER	0	0	1
BZ72B	"MAJOR OCULAR MOTILITY PROCEDURES, BETWEEN 4 AND 18 YEARS"	0	0	1
BZ72C	"MAJOR OCULAR MOTILITY PROCEDURES, 3 YEARS AND UNDER"	0	0	1
BZ73A	INTERMEDIATE OCULAR MOTILITY PROCEDURES 19 YEARS AND OVER	0	0	1
BZ73B	INTERMEDIATE OCULAR MOTILITY PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ74A	MINOR OCULAR MOTILITY PROCEDURES 19 YEARS AND OVER	0	0	1
BZ74B	MINOR OCULAR MOTILITY PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ80A	VERY COMPLEX VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ80B	VERY COMPLEX VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ81A	COMPLEX VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ81B	COMPLEX VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ82Z	"VERY COMPLEX OR COMPLEX, VITREOUS RETINAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ83A	VERY MAJOR VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ83B	VERY MAJOR VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ84A	MAJOR VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ84B	MAJOR VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ85Z	"VERY MAJOR OR MAJOR, VITREOUS RETINAL PROCEDURES 18 YEARS AND UNDER"	0	0	1
BZ86A	INTERMEDIATE VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 2	0	0	1
BZ86B	INTERMEDIATE VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER WITH CC SCORE 0 1	0	0	1
BZ86C	INTERMEDIATE VITREOUS RETINAL PROCEDURES 18 YEARS AND UNDER	0	0	1
BZ87A	MINOR VITREOUS RETINAL PROCEDURES 19 YEARS AND OVER	0	0	1
BZ87B	"MINOR VITREOUS RETINAL PROCEDURES, BETWEEN 4 AND 18 YEARS"	0	0	1
BZ87C	"MINOR VITREOUS RETINAL PROCEDURES, 3 YEARS AND UNDER"	0	0	1
BZ88A	RETINAL TOMOGRAPHY 19 YEARS AND OVER	0	0	1
BZ88B	RETINAL TOMOGRAPHY 18 YEARS AND UNDER	0	0	1
BZ89A	DIGITAL RETINAL PHOTOGRAPHY 19 YEARS AND OVER	0	0	1
BZ89B	DIGITAL RETINAL PHOTOGRAPHY 18 YEARS AND UNDER	0	0	1
BZ90Z	"VERY COMPLEX, GLAUCOMA OR IRIS PROCEDURES"	0	0	1
BZ91A	"COMPLEX, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ91B	"COMPLEX, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ92A	"VERY MAJOR, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ92B	"VERY MAJOR, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ93A	"MAJOR, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 2"	0	0	1
BZ93B	"MAJOR, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 0 1"	0	0	1
BZ94A	"INTERMEDIATE, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 1"	0	0	1
BZ94B	"INTERMEDIATE, GLAUCOMA OR IRIS PROCEDURES WITH CC SCORE 0"	0	0	1
BZ95Z	"MINOR, GLAUCOMA OR IRIS PROCEDURES"	0	0	1
CA01Z	COMPLEX NECK PROCEDURES	0	0	1
CA02A	VERY MAJOR NECK PROCEDURES WITH CC SCORE 2+	0	0	1
CA02B	VERY MAJOR NECK PROCEDURES WITH CC SCORE 0 1	0	0	1
CA03A	MAJOR NECK PROCEDURES WITH CC SCORE 2+	0	0	1
CA03B	MAJOR NECK PROCEDURES WITH CC SCORE 0 1	0	0	1
CA04A	INTERMEDIATE NECK PROCEDURES 19 YEARS AND OVER	0	0	1
CA04B	INTERMEDIATE NECK PROCEDURES 18 YEARS AND UNDER	0	0	1
CA05A	MINOR NECK PROCEDURES 19 YEARS AND OVER	0	0	1
CA05B	MINOR NECK PROCEDURES 18 YEARS AND UNDER	0	0	1
CA10A	SEPTORHINOPLASTY 19 YEARS AND OVER	0	0	1
CA10B	SEPTORHINOPLASTY 18 YEARS AND UNDER	0	0	1
CA11A	SEPTOPLASTY 19 YEARS AND OVER	0	0	1
CA11B	SEPTOPLASTY 18 YEARS AND UNDER	0	0	1
CA12Z	MAJOR TREATMENT OF EPISTAXIS	0	0	1
CA13A	MINOR TREATMENT OF EPISTAXIS 19 YEARS AND OVER	0	0	1
CA13B	MINOR TREATMENT OF EPISTAXIS 18 YEARS AND UNDER	0	0	1
CA14Z	NASAL POLYPECTOMY	0	0	1
CA15Z	"EXCISION OR BIOPSY, OF LESION OF INTERNAL NOSE"	0	0	1
CA16Z	"EXCISION OR BIOPSY, OF LESION OF EXTERNAL NOSE"	0	0	1
CA20Z	COMPLEX NOSE PROCEDURES	0	0	1
CA21Z	VERY MAJOR NOSE PROCEDURES	0	0	1
CA22Z	MAJOR NOSE PROCEDURES	0	0	1
CA23Z	INTERMEDIATE NOSE PROCEDURES	0	0	1
CA24A	MINOR NOSE PROCEDURES 19 YEARS AND OVER	0	0	1
CA24B	MINOR NOSE PROCEDURES 18 YEARS AND UNDER	0	0	1
CA25A	MINIMAL NOSE PROCEDURES 19 YEARS AND OVER	0	0	1
CA25B	MINIMAL NOSE PROCEDURES 18 YEARS AND UNDER	0	0	1
CA26Z	COMPLEX SINUS PROCEDURES	0	0	1
CA27Z	MAJOR SINUS PROCEDURES	0	0	1
CA28Z	INTERMEDIATE SINUS PROCEDURES	0	0	1
CA29Z	MINOR SINUS PROCEDURES	0	0	1
CA30A	"RADICAL OR REVISIONAL, MASTOID PROCEDURES 19 YEARS AND OVER"	0	0	1
CA30B	"RADICAL OR REVISIONAL, MASTOID PROCEDURES 18 YEARS AND UNDER"	0	0	1
CA31Z	"SIMPLE OR CORTICAL, MASTOID PROCEDURES"	0	0	1
CA32A	TYMPANOPLASTY 19 YEARS AND OVER	0	0	1
CA32B	TYMPANOPLASTY 18 YEARS AND UNDER	0	0	1
CA33Z	PINNAPLASTY	0	0	1
CA34A	"EXCISION OR BIOPSY, OF LESION OF EXTERNAL EAR 19 YEARS AND OVER"	0	0	1
CA34B	"EXCISION OR BIOPSY, OF LESION OF EXTERNAL EAR 18 YEARS AND UNDER"	0	0	1
CA35A	INSERTION OF GROMMETS 19 YEARS AND OVER	0	0	1
CA35B	"INSERTION OF GROMMETS, BETWEEN 2 AND 18 YEARS"	0	0	1
CA35C	"INSERTION OF GROMMETS, 1 YEAR AND UNDER"	0	0	1
CA36A	CLEARANCE OF EXTERNAL AUDITORY CANAL 19 YEARS AND OVER	0	0	1
CA36B	CLEARANCE OF EXTERNAL AUDITORY CANAL 18 YEARS AND UNDER	0	0	1
CA37A	AUDIOMETRY OR HEARING ASSESSMENT 19 YEARS AND OVER	0	0	1
CA37B	"AUDIOMETRY OR HEARING ASSESSMENT, BETWEEN 5 AND 18 YEARS"	0	0	1
CA37C	"AUDIOMETRY OR HEARING ASSESSMENT, 4 YEARS AND UNDER"	0	0	1
CA38A	EVOKED POTENTIAL RECORDING 19 YEARS AND OVER	0	0	1
CA38B	EVOKED POTENTIAL RECORDING 18 YEARS AND UNDER	0	0	1
