TRETSPEF_code	TRETSPEF_desc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	
501	Obstetrics	0	
502	Gynaecology	0	
503	Gynaecological Oncology	0	
510	Not A Treatment Function	0	
520	Not A Treatment Function	0	
560	Midwifery Service	0	
600	Not A Treatment Function	0	
610	Not A Treatment Function	0	
620	Not A Treatment Function	0	
650	Physiotherapy (From 2006-07)	0	
651	Occupational Therapy (From 2006-07)	0	
652	Speech And Language Therapy (From 2006-07)	0	
653	Podiatry (From 2006-07)	0	
654	Dietetics (From 2006-07)	0	
655	rthoptics (From 2006-07)	0	
656	Clinical Psychology (From 2006-07)	0	
657	Prosthetics	0	
658	Orthotics	0	
659	Drama Therapy	0	
660	Art Therapy	0	
661	Music Therapy	0	
662	Optometry	0	
663	Podiatric Surgery (From April 2013)	0	
700	Learning Disability (Previously Known As Mental Handicap)	0	
710	Adult Mental Illness	0	
711	Child And Adolescent Psychiatry	0	
712	Forensic Psychiatry	0	
713	Psychotherapy	0	
715	Old Age Psychiatry	0	
720	Eating Disorders (From 2006-07)	0	
721	Addiction Services (From 2006-07)	0	
722	Liaison Psychiatry (From 2006-07)	0	
723	Psychiatric Intensive Care(From 2006-07)	0	
724	Perinatal Psychiatry (From 2006-07)	0	
725	Mental Health Recovery And Rehabilitation Service (From April 2013)	0	
726	Mental Health Dual Diagnosis Service (From April 2013)	0	
727	Dementia Assessment Service (From April 2013)	0	
800	Clinical Oncology (Previously Known As Radiotherapy)	0	
810	Not A Treatment Function	0	
811	Interventional Radiology	0	
812	Diagnostic Imaging (From 2008-09)	0	
820	Not A Treatment Function	0	
821	Not A Treatment Function	0	
822	Chemical Pathology	0	
823	Not A Treatment Function	0	
824	Not A Treatment Function	0	
830	Not A Treatment Function	0	
831	Not A Treatment Function	0	
832	Not A Treatment Function	0	
834	Medical Virology	0	
840	Audiology (From 2008-09)	0	
900	Not A Treatment Function	0	
901	Not A Treatment Function	0	
920	Diabetic Education Service (From April 2013)	0	
950	Not A Treatment Function	0	
960	Not A Treatment Function	0	
990	Not A Treatment Function	0	
&	Not Known	0	
