shortcode,description
090101,090101. Common arterial trunk (truncus arteriosus)
090111,090111. Common arterial trunk (truncus arteriosus) with aortic dominance and one pulmonary artery absent from trunk. isolated pulmonary artery.
090112,090112. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic arch obstruction.
090114,090114. Common arterial trunk (truncus arteriosus) with aortic dominance and both pulmonary arteries arising from trunk.
090115,090115. Common arterial trunk (truncus arteriosus) with aortic dominance (no aortic arch obstruction).
090118,090118. Common arterial trunk (truncus arteriosus) with pulmonary dominance and interrupted aortic arch.
090119,090119. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic coarctation.
090200,090200. Truncal valvar abnormality
090201,090201.Dysplasia of truncal valve.
090203,090203. Truncal valvar regurgitation
090218,090218.Congenital truncal valvar stenosis.
090219,090219.Congenital truncal valvar regurgitation.
090401,090401. Aortopulmonary window
090407,090407.Congenital aortopulmonary window.
090511,090511. Pulmonary atresia
090512,090512. Pulmonary atresia: imperforate valve
090516,090516.Congenital pulmonary atresia.
090705,090705. Absent or atretic pulmonary trunk (main pulmonary artery).
090726,090726. Solitary arterial trunk (absent intrapericardial pulmonary arteries)
090902,090902.Right pulmonary artery from arterial duct.
090903,090903.Right pulmonary artery from ascending aorta.
090904,090904.Left pulmonary artery from arterial duct.
090905,090905.Left pulmonary artery from ascending aorta.
090908,090908. Pulmonary artery from ascending aorta (hemitruncus)
090911,090911. Pulmonary artery from arterial duct.
091010,091010. Discontinuous (non-confluent) pulmonary arteries
091030,091030.Congenitally discontinuous. non-confluent right and left pulmonary arteries.
091075,091075.Absent or atretic right pulmonary artery.
091077,091077.Absent or atretic left pulmonary artery.
091501,091501. Aortic valvar stenosis: congenital
091503,091503. Aortic atresia
091506,091506. Aortic valvar atresia.
091513,091513. Aortic valvar stenosis
091592,091592. Aortic stenosis
091600,091600. Supravalvar aortic stenosis
091618,091618. Congenital supravalvar aortic stenosis.
092931,092931. Interrupted aortic arch
092932,092932. Interrupted aortic arch distal to subclavian artery. type A.
092933,092933. Interrupted aortic arch between subclavian & common carotid arteries. type B.
092934,092934. Interrupted aortic arch between carotid arteries. type C.
093134,093134.Vascular ring of left aortic arch and right arterial duct or ligament.
093135,093135.Vascular ring of right aortic arch and left arterial duct or ligament.
094101,094101. Anomalous origin of coronary artery from pulmonary artery
094103,094103. Anomalous origin of left coronary artery from pulmonary artery (ALCAPA).
094221,094221.Anomalous aortic origin of coronary artery with ventriculo-arterial concordance.
122746,122746 Congenitally corrected transposition of great arteries repair
122750,"122750 Double outlet left ventricle repair,"
122926,"122926 Atrial inversion and Rastelli procedures,"
150503,150503. Pulmonary vein obstruction
