shortcode,description
090118,090118. Common arterial trunk (truncus arteriosus) with pulmonary dominance and interrupted aortic arch.
090119,090119. Common arterial trunk (truncus arteriosus) with pulmonary dominance and aortic coarctation.
090200,090200. Truncal valvar abnormality
090201,090201.Dysplasia of truncal valve.
090203,090203. Truncal valvar regurgitation
090218,090218.Congenital truncal valvar stenosis.
090219,090219.Congenital truncal valvar regurgitation.
090401,090401. Aortopulmonary window
090407,090407.Congenital aortopulmonary window.
090525,090525 Absent pulmonary valve syndrome 
091501,091501. Aortic valvar stenosis: congenital
091503,091503. Aortic atresia
091506,091506. Aortic valvar atresia.
091513,091513. Aortic valvar stenosis
091517,091517. Aortic 'annular' hypoplasia.
091592,091592. Aortic stenosis
091600,091600. Supravalvar aortic stenosis
091618,091618. Congenital supravalvar aortic stenosis.
092931,092931. Interrupted aortic arch
092932,092932. Interrupted aortic arch distal to subclavian artery. type A.
092933,092933. Interrupted aortic arch between subclavian & common carotid arteries. type B.
092934,092934. Interrupted aortic arch between carotid arteries. type C.
092944,092944.Descending thoracic or abdominal aortic coarctation.
093134,093134.Vascular ring of left aortic arch and right arterial duct or ligament.
093135,093135.Vascular ring of right aortic arch and left arterial duct or ligament.
094101,094101. Anomalous origin of coronary artery from pulmonary artery
094103,094103. Anomalous origin of left coronary artery from pulmonary artery (ALCAPA).
094221,094221.Anomalous aortic origin of coronary artery with ventriculo-arterial concordance.
121100,121100 Common arterial trunk repair
121201,121201 aortopulmonary window repair
121312,121312 Pulmonary valvectomy 
121402,121402 Pulmonary trunk band 
122621,122621 Absent pulmonary valve syndrome repair
122745,122745 REV procedure 
122911,122911 Rastelli
150503,150503. Pulmonary vein obstruction
